ALTERNATIVE_ID,COURSE_ID,EVENT,EVENT_DATE
STUDENT14,MNG_333N_222_08F,roster.view.profile,9/2/2010 22:54
STUDENT14,MNG_333N_222_08F,roster.view.photos,9/2/2010 22:54
STUDENT14,MNG_333N_222_08F,roster.view,9/2/2010 22:54
STUDENT14,MNG_333N_222_08F,roster.view.profile,9/2/2010 22:55
STUDENT14,MNG_333N_222_08F,roster.view,9/2/2010 22:56
STUDENT14,MNG_333N_222_08F,search.query,9/2/2010 22:56
STUDENT14,MNG_333N_222_08F,search.query,9/2/2010 22:56
STUDENT14,MNG_333N_222_08F,search.query,9/2/2010 22:56
STUDENT14,MNG_333N_222_08F,search.query,9/2/2010 22:56
STUDENT14,MNG_333N_222_08F,roster.view,9/2/2010 22:57
STUDENT14,MNG_333N_222_08F,roster.view.profile,9/2/2010 22:57
STUDENT14,MNG_333N_222_08F,pres.end,9/2/2010 22:58
STUDENT1,MNG_333N_222_08F,pres.begin,9/3/2010 13:38
STUDENT1,MNG_333N_222_08F,pres.end,9/3/2010 13:38
STUDENT3,MNG_333N_222_08F,pres.end,9/3/2010 13:40
STUDENT29,MNG_333N_222_08F,pres.end,9/3/2010 13:43
STUDENT23,MNG_333N_222_08F,pres.begin,9/3/2010 13:46
STUDENT25,MNG_333N_222_08F,pres.begin,9/3/2010 13:49
STUDENT25,MNG_333N_222_08F,roster.view,9/3/2010 13:49
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 13:49
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 13:49
STUDENT25,MNG_333N_222_08F,pres.end,9/3/2010 13:50
STUDENT25,MNG_333N_222_08F,pres.begin,9/3/2010 13:51
STUDENT25,MNG_333N_222_08F,roster.view,9/3/2010 13:51
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 13:52
STUDENT25,MNG_333N_222_08F,pres.end,9/3/2010 13:53
STUDENT23,MNG_333N_222_08F,pres.begin,9/3/2010 13:53
STUDENT23,MNG_333N_222_08F,content.read,9/3/2010 13:53
STUDENT1,MNG_333N_222_08F,pres.begin,9/3/2010 13:56
STUDENT1,MNG_333N_222_08F,content.read,9/3/2010 13:56
STUDENT8,MNG_333N_222_08F,pres.begin,9/3/2010 13:56
STUDENT1,MNG_333N_222_08F,content.read,9/3/2010 13:58
STUDENT1,MNG_333N_222_08F,pres.begin,9/3/2010 14:00
STUDENT1,MNG_333N_222_08F,pres.end,9/3/2010 14:02
STUDENT8,MNG_333N_222_08F,messages.new,9/3/2010 14:04
STUDENT8,MNG_333N_222_08F,pres.end,9/3/2010 14:05
STUDENT23,MNG_333N_222_08F,pres.end,9/3/2010 14:07
STUDENT25,MNG_333N_222_08F,pres.begin,9/3/2010 14:07
STUDENT23,MNG_333N_222_08F,pres.begin,9/3/2010 14:08
STUDENT23,MNG_333N_222_08F,pres.begin,9/3/2010 14:08
STUDENT23,MNG_333N_222_08F,roster.view,9/3/2010 14:08
STUDENT23,MNG_333N_222_08F,pres.end,9/3/2010 14:12
STUDENT23,MNG_333N_222_08F,pres.begin,9/3/2010 14:13
STUDENT23,MNG_333N_222_08F,content.new,9/3/2010 14:15
STUDENT25,MNG_333N_222_08F,pres.end,9/3/2010 14:15
STUDENT23,MNG_333N_222_08F,content.new,9/3/2010 14:16
STUDENT23,MNG_333N_222_08F,content.available,9/3/2010 14:16
STUDENT25,MNG_333N_222_08F,pres.begin,9/3/2010 14:16
STUDENT23,MNG_333N_222_08F,content.delete,9/3/2010 14:17
STUDENT23,MNG_333N_222_08F,content.revise,9/3/2010 14:18
STUDENT25,MNG_333N_222_08F,content.new,9/3/2010 14:18
STUDENT25,MNG_333N_222_08F,content.new,9/3/2010 14:18
STUDENT25,MNG_333N_222_08F,content.available,9/3/2010 14:18
STUDENT25,MNG_333N_222_08F,content.new,9/3/2010 14:19
STUDENT25,MNG_333N_222_08F,content.new,9/3/2010 14:19
STUDENT25,MNG_333N_222_08F,content.available,9/3/2010 14:19
STUDENT1,MNG_333N_222_08F,messages.newfolder,8/27/2010 23:19
STUDENT1,MNG_333N_222_08F,messages.newfolder,8/27/2010 23:19
STUDENT1,MNG_333N_222_08F,messages.newfolder,8/27/2010 23:19
STUDENT1,MNG_333N_222_08F,pres.end,8/28/2010 0:20
STUDENT22,MNG_333N_222_08F,pres.begin,8/29/2010 19:50
STUDENT22,MNG_333N_222_08F,messages.newfolder,8/29/2010 19:50
STUDENT22,MNG_333N_222_08F,messages.newfolder,8/29/2010 19:50
STUDENT22,MNG_333N_222_08F,messages.newfolder,8/29/2010 19:50
STUDENT22,MNG_333N_222_08F,pres.end,8/29/2010 19:54
STUDENT8,MNG_333N_222_08F,pres.begin,8/30/2010 21:06
STUDENT8,MNG_333N_222_08F,messages.newfolder,8/30/2010 21:06
STUDENT8,MNG_333N_222_08F,messages.newfolder,8/30/2010 21:06
STUDENT8,MNG_333N_222_08F,messages.newfolder,8/30/2010 21:06
STUDENT8,MNG_333N_222_08F,pres.end,8/30/2010 22:07
STUDENT11,MNG_333N_222_08F,pres.end,9/1/2010 12:43
STUDENT16,MNG_333N_222_08F,pres.begin,9/1/2010 12:50
STUDENT25,MNG_333N_222_08F,pres.end,9/1/2010 12:50
STUDENT16,MNG_333N_222_08F,pres.begin,9/1/2010 12:50
STUDENT16,MNG_333N_222_08F,pres.end,9/1/2010 12:51
STUDENT26,MNG_333N_222_08F,pres.end,9/2/2010 19:45
STUDENT3,MNG_333N_222_08F,pres.begin,9/2/2010 20:20
STUDENT3,MNG_333N_222_08F,pres.end,9/2/2010 20:24
STUDENT3,MNG_333N_222_08F,pres.begin,9/2/2010 20:32
STUDENT3,MNG_333N_222_08F,pres.begin,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:36
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,roster.view.profile,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,roster.view,9/2/2010 20:37
STUDENT3,MNG_333N_222_08F,pres.end,9/2/2010 20:41
STUDENT18,MNG_333N_222_08F,pres.begin,9/2/2010 21:03
STUDENT18,MNG_333N_222_08F,pres.end,9/2/2010 21:11
STUDENT18,MNG_333N_222_08F,pres.begin,9/2/2010 21:12
STUDENT18,MNG_333N_222_08F,pres.begin,9/2/2010 21:15
STUDENT3,MNG_333N_222_08F,pres.end,9/3/2010 21:22
STUDENT17,MNG_333N_222_08F,pres.begin,9/3/2010 22:33
STUDENT14,MNG_333N_222_08F,pres.end,9/2/2010 23:28
STUDENT12,MNG_333N_222_08F,pres.end,9/2/2010 23:33
STUDENT25,MNG_333N_222_08F,pres.begin,9/2/2010 23:54
STUDENT25,MNG_333N_222_08F,pres.end,9/2/2010 23:55
STUDENT1,MNG_333N_222_08F,pres.end,9/3/2010 0:04
STUDENT2,MNG_333N_222_08F,pres.begin,9/3/2010 0:07
STUDENT2,MNG_333N_222_08F,pres.end,9/3/2010 0:09
STUDENT2,MNG_333N_222_08F,pres.begin,9/3/2010 0:14
STUDENT2,MNG_333N_222_08F,pres.begin,9/3/2010 0:14
STUDENT2,MNG_333N_222_08F,roster.view,9/3/2010 0:20
STUDENT3,MNG_333N_222_08F,pres.begin,9/3/2010 0:25
STUDENT2,MNG_333N_222_08F,news.read,9/3/2010 0:27
STUDENT2,MNG_333N_222_08F,news.read,9/3/2010 0:27
STUDENT12,MNG_333N_222_08F,pres.begin,9/3/2010 0:46
STUDENT12,MNG_333N_222_08F,roster.view,9/3/2010 0:47
STUDENT12,MNG_333N_222_08F,content.read,9/3/2010 0:49
STUDENT25,MNG_333N_222_08F,pres.begin,9/3/2010 1:01
STUDENT25,MNG_333N_222_08F,pres.end,9/3/2010 1:05
STUDENT24,MNG_333N_222_08F,pres.begin,9/3/2010 1:07
STUDENT24,MNG_333N_222_08F,pres.begin,9/3/2010 1:14
STUDENT25,MNG_333N_222_08F,pres.begin,9/3/2010 1:13
STUDENT25,MNG_333N_222_08F,roster.view,9/3/2010 1:13
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:13
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:14
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:14
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:14
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:14
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:14
STUDENT25,MNG_333N_222_08F,roster.view.profile,9/3/2010 1:15
STUDENT25,MNG_333N_222_08F,roster.view,9/3/2010 1:15
STUDENT24,MNG_333N_222_08F,pres.end,9/3/2010 1:15
STUDENT25,MNG_333N_222_08F,roster.view.photos,9/3/2010 1:15
STUDENT25,MNG_333N_222_08F,pres.end,9/3/2010 1:15
STUDENT24,MNG_333N_222_08F,pres.begin,9/3/2010 1:16
STUDENT3,MNG_333N_222_08F,pres.end,9/3/2010 1:26
STUDENT2,MNG_333N_222_08F,pres.end,9/3/2010 1:30
STUDENT12,MNG_333N_222_08F,content.new,9/3/2010 1:34
STUDENT12,MNG_333N_222_08F,content.available,9/3/2010 1:34
STUDENT12,MNG_333N_222_08F,content.read,9/3/2010 1:34
STUDENT12,MNG_333N_222_08F,content.read,9/3/2010 1:34
STUDENT24,MNG_333N_222_08F,pres.end,9/3/2010 2:27
STUDENT12,MNG_333N_222_08F,pres.end,9/3/2010 2:35
STUDENT9,MNG_333N_222_08F,pres.end,9/3/2010 16:52
STUDENT3,MNG_333N_222_08F,pres.begin,9/3/2010 20:21
STUDENT19,MNG_333N_222_08F,pres.begin,9/6/2010 10:29
STUDENT19,MNG_333N_222_08F,content.read,9/6/2010 10:30
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:34
STUDENT19,MNG_333N_222_08F,roster.view.profile,9/6/2010 10:34
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:34
STUDENT16,MNG_333N_222_08F,pres.begin,9/6/2010 10:34
STUDENT19,MNG_333N_222_08F,roster.view.profile,9/6/2010 10:34
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:34
STUDENT16,MNG_333N_222_08F,pres.end,9/6/2010 10:35
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:36
STUDENT19,MNG_333N_222_08F,roster.view.profile,9/6/2010 10:37
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:37
STUDENT19,MNG_333N_222_08F,roster.view.profile,9/6/2010 10:37
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:38
STUDENT19,MNG_333N_222_08F,roster.view.profile,9/6/2010 10:38
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:38
STUDENT19,MNG_333N_222_08F,roster.view.profile,9/6/2010 10:38
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:38
STUDENT19,MNG_333N_222_08F,roster.view,9/6/2010 10:39
STUDENT19,MNG_333N_222_08F,pres.end,9/6/2010 10:40
STUDENT19,MNG_333N_222_08F,pres.begin,9/6/2010 10:41
STUDENT19,MNG_333N_222_08F,pres.end,9/6/2010 10:44
STUDENT13,MNG_333N_222_08F,content.read,9/2/2010 17:24
STUDENT27,MNG_333N_222_08F,roster.view.profile,9/2/2010 17:24
STUDENT27,MNG_333N_222_08F,roster.view,9/2/2010 17:24
STUDENT27,MNG_333N_222_08F,roster.view.profile,9/2/2010 17:24
STUDENT11,MNG_333N_222_08F,pres.end,9/2/2010 17:25
STUDENT27,MNG_333N_222_08F,roster.view,9/2/2010 17:24
STUDENT27,MNG_333N_222_08F,pres.end,9/2/2010 17:25
STUDENT13,MNG_333N_222_08F,content.read,9/2/2010 17:27
STUDENT27,MNG_333N_222_08F,pres.begin,9/2/2010 17:27
STUDENT27,MNG_333N_222_08F,pres.end,9/2/2010 17:27
STUDENT27,MNG_333N_222_08F,pres.begin,9/2/2010 17:28
STUDENT27,MNG_333N_222_08F,pres.end,9/2/2010 17:32
STUDENT27,MNG_333N_222_08F,pres.begin,9/2/2010 17:33
STUDENT17,MNG_333N_222_08F,pres.end,9/2/2010 17:35
STUDENT20,MNG_333N_222_08F,pres.begin,9/2/2010 17:36
STUDENT20,MNG_333N_222_08F,pres.begin,9/2/2010 17:36
STUDENT27,MNG_333N_222_08F,pres.begin,9/2/2010 17:37
STUDENT20,MNG_333N_222_08F,roster.view,9/2/2010 17:37
STUDENT20,MNG_333N_222_08F,pres.end,9/2/2010 17:39
STUDENT26,MNG_333N_222_08F,pres.begin,9/2/2010 17:40
STUDENT27,MNG_333N_222_08F,pres.begin,9/2/2010 17:41
